rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Das doppelte Lottchen",1950,http://www.icheckmovies.com/movies/das+doppelte+lottchen/,57,2,1,1,3,"Two Times Lotte",http://www.imdb.com/title/tt0042409/,no,no,no,no,no
2,0,"Nachts auf den Straßen",1952,http://www.icheckmovies.com/movies/nachts+auf+den+strassen/,24,0,0,1,8,"The Mistress",http://www.imdb.com/title/tt0043835/,no,no,no,no,no
3,0,"Weg ohne Umkehr",1953,http://www.icheckmovies.com/movies/weg+ohne+umkehr/,1,0,0,1,4,"No Way Back",http://www.imdb.com/title/tt0046539/,no,no,no,no,no
4,0,Canaris,1954,http://www.icheckmovies.com/movies/canaris/,12,0,0,1,8,"Deadly Decision",http://www.imdb.com/title/tt0046819/,no,no,no,no,no
5,0,"Der Hauptmann von Köpenick",1956,http://www.icheckmovies.com/movies/der+hauptmann+von+kopenick/,133,5,0,2,33,"The Captain from Köpenick",http://www.imdb.com/title/tt0049293/,no,no,no,no,no
6,0,"Nachts, wenn der Teufel kam",1957,http://www.icheckmovies.com/movies/nachts+wenn+der+teufel+kam/,162,14,1,4,92,"The Devil Strikes at Night",http://www.imdb.com/title/tt0050746/,no,no,no,no,no
7,0,Helden,1958,http://www.icheckmovies.com/movies/helden/,21,0,0,2,25,"Arms and the Man",http://www.imdb.com/title/tt0051712/,no,no,no,no,no
8,0,"Die Brücke",1959,http://www.icheckmovies.com/movies/die+brucke/,739,89,1,6,153,"The Bridge",http://www.imdb.com/title/tt0052654/,"2018-10-17 22:06:28",no,no,no,no
9,0,"Das Brot der frühen Jahre",1962,http://www.icheckmovies.com/movies/das+brot+der+fruhen+jahre/,15,1,0,1,12,"The Bread of Those Early Years",http://www.imdb.com/title/tt0054705/,no,no,no,no,no
10,0,"Die endlose Nacht",1963,http://www.icheckmovies.com/movies/die+endlose+nacht/,19,2,0,1,11,"The Endless Night",http://www.imdb.com/title/tt0057035/,no,no,no,no,no
11,0,"Das Feuerschiff",1963,http://www.icheckmovies.com/movies/das+feuerschiff-1963-1/,1,0,0,1,2,,http://www.imdb.com/title/tt0055980/,no,no,no,no,no
12,0,"Kennwort... Reiher",1964,http://www.icheckmovies.com/movies/kennwort...+reiher/,1,0,0,1,2,"The River Line",http://www.imdb.com/title/tt0057223/,no,no,no,no,no
13,0,"Das Haus in der Karpfengasse",1965,http://www.icheckmovies.com/movies/das+haus+in+der+karpfengasse/,2,0,0,1,2,"The House in Karp Lane",http://www.imdb.com/title/tt0057131/,no,no,no,no,no
14,0,"Der junge Törless",1966,http://www.icheckmovies.com/movies/der+junge+torless/,450,31,6,3,88,"Young Torless",http://www.imdb.com/title/tt0060574/,no,no,no,no,no
15,0,"Abschied von gestern - (Anita G.)",1966,http://www.icheckmovies.com/movies/abschied+von+gestern+-+anita+g./,320,18,11,4,95,"Yesterday Girl",http://www.imdb.com/title/tt0060063/,no,no,no,no,no
16,0,Tätowierung,1967,http://www.icheckmovies.com/movies/tatowierung/,7,0,1,1,11,Tattoo,http://www.imdb.com/title/tt0062408/,no,no,no,no,no
17,0,"Die Artisten in der Zirkuskuppel: Ratlos",1968,http://www.icheckmovies.com/movies/die+artisten+in+der+zirkuskuppel+ratlos/,123,7,1,3,62,"The Artist in the Circus Dome: Clueless",http://www.imdb.com/title/tt0062679/,no,no,no,no,no
18,0,Katzelmacher,1969,http://www.icheckmovies.com/movies/katzelmacher/,527,30,8,5,88,,http://www.imdb.com/title/tt0064536/,"2018-12-01 09:38:44",no,no,no,no
19,0,Malatesta,1970,http://www.icheckmovies.com/movies/malatesta/,3,0,0,1,10,,http://www.imdb.com/title/tt0066044/,no,no,no,no,no
20,0,"Erste Liebe",1970,http://www.icheckmovies.com/movies/erste+liebe/,24,0,0,2,28,"First Love",http://www.imdb.com/title/tt0065703/,no,no,no,no,no
21,0,Trotta,1971,http://www.icheckmovies.com/movies/trotta/,2,0,0,1,13,,http://www.imdb.com/title/tt0067884/,no,no,no,no,no
22,0,"Die Sachverständigen",1973,http://www.icheckmovies.com/movies/die+sachverstandigen/,1,0,0,1,3,"The Experts",http://www.imdb.com/title/tt0163188/,no,no,no,no,no
23,0,"Der Fußgänger",1973,http://www.icheckmovies.com/movies/der+fussganger/,28,0,0,2,33,"The Pedestrian",http://www.imdb.com/title/tt0070086/,no,no,no,no,no
24,0,"Lina Braake",1975,http://www.icheckmovies.com/movies/lina+braake/,9,0,1,1,7,,http://www.imdb.com/title/tt0071758/,no,no,no,no,no
25,0,"Es herrscht Ruhe im Land",1976,http://www.icheckmovies.com/movies/es+herrscht+ruhe+im+land/,1,0,0,1,4,,http://www.imdb.com/title/tt0074491/,no,no,no,no,no
26,0,Heinrich,1977,http://www.icheckmovies.com/movies/heinrich/,6,0,1,1,6,,http://www.imdb.com/title/tt0076133/,no,no,no,no,no
27,0,"Die gläserne Zelle",1978,http://www.icheckmovies.com/movies/die+glaserne+zelle/,43,1,1,2,36,"The Glass Cell",http://www.imdb.com/title/tt0077615/,no,no,no,no,no
28,0,"Die Blechtrommel",1979,http://www.icheckmovies.com/movies/die+blechtrommel/,3853,276,64,15,264,"The Tin Drum",http://www.imdb.com/title/tt0078875/,"2018-04-26 21:41:18",no,no,no,no
29,0,"Die letzten Jahre der Kindheit",1979,http://www.icheckmovies.com/movies/die+letzten+jahre+der+kindheit/,4,0,0,1,2,"The Last Years of Childhood",http://www.imdb.com/title/tt0163054/,no,no,no,no,no
30,0,"Jede Menge Kohle",1981,http://www.icheckmovies.com/movies/jede+menge+kohle/,6,1,0,1,2,,http://www.imdb.com/title/tt0082582/,no,no,no,no,no
31,0,"Die bleierne Zeit",1981,http://www.icheckmovies.com/movies/die+bleierne+zeit/,272,18,4,4,91,"Marianne and Juliane",http://www.imdb.com/title/tt0082081/,no,no,no,no,no
32,0,"Der Stand der Dinge",1982,http://www.icheckmovies.com/movies/der+stand+der+dinge/,448,40,5,3,99,"The State of Things",http://www.imdb.com/title/tt0084725/,no,no,no,no,no
33,0,"Wo die grünen Ameisen träumen",1984,http://www.icheckmovies.com/movies/wo+die+grunen+ameisen+traumen/,245,14,2,1,62,"Where the Green Ants Dream",http://www.imdb.com/title/tt0088412/,no,no,no,no,no
34,0,"Oberst Redl",1985,http://www.icheckmovies.com/movies/oberst+redl/,215,14,2,3,73,"Colonel Redl",http://www.imdb.com/title/tt0089716/,no,no,no,no,no
35,0,"Rosa Luxemburg",1986,http://www.icheckmovies.com/movies/rosa+luxemburg/,104,6,0,1,34,,http://www.imdb.com/title/tt0091869/,no,no,no,no,no
36,0,Francesca,1987,http://www.icheckmovies.com/movies/francesca-1987-1/,1,0,0,1,2,,http://www.imdb.com/title/tt0091073/,no,no,no,no,no
37,0,"Der Name der Rose",1986,http://www.icheckmovies.com/movies/der+name+der+rose/,5424,425,32,1,143,"The Name of the Rose",http://www.imdb.com/title/tt0091605/,"2018-04-28 16:04:30",no,no,no,no
38,0,"Das Schweigen des Dichters",1986,http://www.icheckmovies.com/movies/das+schweigen+des+dichters/,1,0,0,1,3,,http://www.imdb.com/title/tt0093930/,no,no,no,no,no
39,0,"Der Himmel über Berlin",1987,http://www.icheckmovies.com/movies/der+himmel+uber+berlin/,8523,1278,83,20,519,"Wings of Desire",http://www.imdb.com/title/tt0093191/,"2018-04-26 21:44:44",no,no,no,no
40,0,Yasemin,1988,http://www.icheckmovies.com/movies/yasemin/,9,1,1,1,11,,http://www.imdb.com/title/tt0096476/,no,no,no,no,no
41,0,"Last Exit to Brooklyn",1989,http://www.icheckmovies.com/movies/last+exit+to+brooklyn/,343,22,8,2,44,,http://www.imdb.com/title/tt0097714/,"2018-11-08 00:26:44",no,no,no,no
42,0,Malina,1991,http://www.icheckmovies.com/movies/malina/,59,3,2,1,31,,http://www.imdb.com/title/tt0102383/,no,no,no,no,no
43,0,Schtonk,1992,http://www.icheckmovies.com/movies/schtonk/,121,6,1,2,32,,http://www.imdb.com/title/tt0105328/,no,no,no,no,no
44,0,"Kleine Haie",1992,http://www.icheckmovies.com/movies/kleine+haie/,30,4,0,1,11,"Acting It Out",http://www.imdb.com/title/tt0107330/,no,no,no,no,no
45,0,"Der olympische Sommer",1993,http://www.icheckmovies.com/movies/der+olympische+sommer/,2,0,0,1,2,"The Olympic Summer",http://www.imdb.com/title/tt0107743/,no,no,no,no,no
46,0,"Wir können auch anders...",1993,http://www.icheckmovies.com/movies/wir+konnen+auch+anders.../,30,2,0,1,15,"No More Mr. Nice Guy",http://www.imdb.com/title/tt0108574/,no,no,no,no,no
47,0,"Kaspar Hauser",1993,http://www.icheckmovies.com/movies/kaspar+hauser/,45,2,0,1,9,,http://www.imdb.com/title/tt0110246/,no,no,no,no,no
48,0,"Der bewegte Mann",1994,http://www.icheckmovies.com/movies/der+bewegte+mann/,223,4,3,1,18,"Maybe... Maybe Not",http://www.imdb.com/title/tt0109255/,no,no,no,no,no
49,0,"Der Totmacher",1995,http://www.icheckmovies.com/movies/der+totmacher/,84,4,0,1,27,"The Deathmaker",http://www.imdb.com/title/tt0114704/,no,no,no,no,no
50,0,Rossini,1997,http://www.icheckmovies.com/movies/rossini/,55,2,1,1,4,,http://www.imdb.com/title/tt0120037/,no,no,no,no,no
51,0,"Comedian Harmonists",1997,http://www.icheckmovies.com/movies/comedian+harmonists/,143,6,0,1,25,"The Harmonists",http://www.imdb.com/title/tt0128133/,no,no,no,no,no
52,0,"Lola rennt",1998,http://www.icheckmovies.com/movies/lola+rennt/,22804,1880,163,6,392,"Run Lola Run",http://www.imdb.com/title/tt0130827/,"2018-04-26 21:49:37",no,no,no,no
53,0,"Die Unberührbare",2000,http://www.icheckmovies.com/movies/die+unberuhrbare/,29,4,0,1,27,"No Place to Go",http://www.imdb.com/title/tt0235841/,no,no,no,no,no
54,0,"Die innere Sicherheit",2000,http://www.icheckmovies.com/movies/die+innere+sicherheit/,122,5,0,2,33,"The State I Am In",http://www.imdb.com/title/tt0248103/,no,no,no,no,no
55,0,"Nirgendwo in Afrika",2001,http://www.icheckmovies.com/movies/nirgendwo+in+afrika/,852,60,9,4,90,"Nowhere in Africa",http://www.imdb.com/title/tt0161860/,"2018-12-01 09:30:05",no,no,no,no
56,0,"Good Bye Lenin!",2003,http://www.icheckmovies.com/movies/good+bye+leninexclamation/,18837,1800,73,6,260,"Goodbye Lenin!",http://www.imdb.com/title/tt0301357/,"2018-10-17 01:35:45",no,no,no,no
57,0,"Gegen die Wand",2004,http://www.icheckmovies.com/movies/gegen+die+wand/,4241,489,28,9,235,Head-On,http://www.imdb.com/title/tt0347048/,"2018-04-26 21:51:31",no,no,no,no
58,0,"Alles auf Zucker!",2004,http://www.icheckmovies.com/movies/alles+auf+zuckerexclamation/,111,2,1,1,9,"Go for Zucker",http://www.imdb.com/title/tt0416331/,no,no,no,no,no
59,0,"Das Leben der Anderen",2006,http://www.icheckmovies.com/movies/das+leben+der+anderen/,28885,3714,101,16,637,"The Lives of Others",http://www.imdb.com/title/tt0405094/,"2018-04-26 21:51:56",no,no,no,no
60,0,"Vier Minuten",2006,http://www.icheckmovies.com/movies/vier+minuten/,301,31,4,1,40,"4 Minutes",http://www.imdb.com/title/tt0461694/,no,no,no,no,no
61,0,"Auf der anderen Seite",2007,http://www.icheckmovies.com/movies/auf+der+anderen+seite/,1788,202,13,2,132,"The Edge of Heaven",http://www.imdb.com/title/tt0880502/,no,no,no,no,no
62,0,"John Rabe",2009,http://www.icheckmovies.com/movies/john+rabe/,236,10,7,1,15,,http://www.imdb.com/title/tt1124377/,no,no,no,no,no
63,0,"Das weiße Band - Eine deutsche Kindergeschichte",2009,http://www.icheckmovies.com/movies/das+weisse+band+-+eine+deutsche+kindergeschichte/,8025,927,77,8,399,"The White Ribbon",http://www.imdb.com/title/tt1149362/,"2018-04-26 21:53:11",no,no,no,no
64,0,"Vincent will Meer",2010,http://www.icheckmovies.com/movies/vincent+will+meer/,218,21,2,1,21,,http://www.imdb.com/title/tt1611211/,no,no,no,no,no
65,0,"Halt auf freier Strecke",2011,http://www.icheckmovies.com/movies/halt+auf+freier+strecke/,83,8,0,1,35,"Stopped on Track",http://www.imdb.com/title/tt1780856/,no,no,no,no,no
66,0,"Oh Boy",2012,http://www.icheckmovies.com/movies/oh+boy/,792,87,3,1,68,"A Coffee in Berlin",http://www.imdb.com/title/tt1954701/,no,no,no,no,no
67,0,"Die andere Heimat - Chronik einer Sehnsucht",2013,http://www.icheckmovies.com/movies/die+andere+heimat+-+chronik+einer+sehnsucht/,124,24,2,2,56,"Home from Home: Chronicle of a Vision",http://www.imdb.com/title/tt1998204/,no,no,no,no,no
68,0,Victoria,2015,http://www.icheckmovies.com/movies/victoria-2015/,2205,341,22,5,179,,http://www.imdb.com/title/tt4226388/,"2018-12-01 09:47:25",no,no,no,no
69,0,"Der Staat gegen Fritz Bauer",2015,http://www.icheckmovies.com/movies/der+staat+gegen+fritz+bauer/,135,8,0,1,10,"The People vs. Fritz Bauer",http://www.imdb.com/title/tt4193400/,no,no,no,no,no
70,0,"Toni Erdmann",2016,http://www.icheckmovies.com/movies/toni+erdmann/,2434,279,32,7,216,,http://www.imdb.com/title/tt4048272/,no,no,no,no,no
71,,"3 Tage in Quiberon",2018,http://www.icheckmovies.com/movies/3+tage+in+quiberon/,26,0,0,1,5,"3 Days in Quiberon",http://www.imdb.com/title/tt6463494/,no,no,no,no,no
