rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Memorias del subdesarrollo",1968,http://www.icheckmovies.com/movies/memorias+del+subdesarrollo/,1085,102,8,11,210,"Memories of Underdevelopment",http://www.imdb.com/title/tt0063291/,"2018-11-19 21:31:43",no,no,no,no
2,,"Los olvidados",1950,http://www.icheckmovies.com/movies/los+olvidados/,3720,502,28,23,373,"The Young and the Damned",http://www.imdb.com/title/tt0042804/,"2018-06-11 13:08:24",no,no,no,no
3,,"El Ángel Exterminador",1962,http://www.icheckmovies.com/movies/el+angel+exterminador/,5119,786,36,17,412,"The Exterminating Angel",http://www.imdb.com/title/tt0056732/,"2018-10-29 22:09:52",no,no,no,no
4,,"Deus e o Diabo na Terra do Sol",1964,http://www.icheckmovies.com/movies/deus+e+o+diabo+na+terra+do+sol/,1204,103,33,9,207,"Black God, White Devil",http://www.imdb.com/title/tt0058006/,"2018-12-02 23:22:59",no,no,no,no
5,,Lucía,1968,http://www.icheckmovies.com/movies/lucia/,297,21,3,4,137,,http://www.imdb.com/title/tt0064609/,no,no,no,no,no
6,,"Frida, naturaleza viva",1983,http://www.icheckmovies.com/movies/frida+naturaleza+viva/,129,2,0,2,44,"Frida Still Life",http://www.imdb.com/title/tt0087297/,no,no,no,no,no
7,,"El exilio de Gardel: Tangos",1985,http://www.icheckmovies.com/movies/el+exilio+de+gardel+tangos/,55,4,1,1,44,"Tangos, the Exile of Gardel",http://www.imdb.com/title/tt0090125/,no,no,no,no,no
8,,"Vidas Secas",1963,http://www.icheckmovies.com/movies/vidas+secas/,770,47,9,8,149,"Barren Lives",http://www.imdb.com/title/tt0057654/,"2018-12-02 14:54:08",no,no,no,no
9,,"La hora de los hornos: Notas y testimonios sobre el neocolonialismo, la violencia y la liberación",1968,http://www.icheckmovies.com/movies/la+hora+de+los+hornos+notas+y+testimonios+sobre+el+neocolonialismo+la+violencia+y+la+liberacion/,377,21,5,9,161,"The Hour of the Furnaces",http://www.imdb.com/title/tt0063084/,no,no,no,no,no
10,,Now,1965,http://www.icheckmovies.com/movies/now/,1098,36,9,4,60,,http://www.imdb.com/title/tt0059520/,no,no,no,no,no
11,,"Hombre mirando al sudeste",1986,http://www.icheckmovies.com/movies/hombre+mirando+al+sudeste/,428,46,8,1,76,"Man Facing Southeast",http://www.imdb.com/title/tt0091214/,no,no,no,no,no
12,,"El Chacal de Nahueltoro",1969,http://www.icheckmovies.com/movies/el+chacal+de+nahueltoro/,280,34,1,1,71,"Jackal of Nahueltoro",http://www.imdb.com/title/tt0064147/,no,no,no,no,no
13,,"La ciudad y los perros",1985,http://www.icheckmovies.com/movies/la+ciudad+y+los+perros/,70,1,0,2,43,"The City and the Dogs",http://www.imdb.com/title/tt0085345/,no,no,no,no,no
14,,"La historia oficial",1985,http://www.icheckmovies.com/movies/la+historia+oficial/,1038,72,10,3,154,"The Official Story",http://www.imdb.com/title/tt0089276/,no,no,no,no,no
15,,"Yawar Mallku",1969,http://www.icheckmovies.com/movies/yawar+mallku/,184,20,0,5,96,"Blood of the Condor",http://www.imdb.com/title/tt0065228/,no,no,no,no,no
16,,"Tire dié",1960,http://www.icheckmovies.com/movies/tire+die/,183,3,3,2,51,"Toss Me a Dime",http://www.imdb.com/title/tt0054388/,no,no,no,no,no
